,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,dominant_topic
0,0.0,0.04,0.0,0.0,0.3,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.12,0.39,0.0,0.03,0.0,0.0,0.05,0.0,13
1,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,11
2,0.02,0.0,0.34,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.09,0.0,0.37,0.0,0.0,0.0,0.0,15
3,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.19,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,16
4,0.0,0.0,0.0,0.01,0.27,0.0,0.0,0.0,0.0,0.0,0.45,0.01,0.02,0.0,0.0,0.0,0.0,0.08,0.11,0.05,10
5,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.34,0.06,0.0,0.14,0.08,0.0,0.06,0.0,12
6,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,16
7,0.0,0.3,0.06,0.0,0.22,0.0,0.08,0.0,0.06,0.19,0.02,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.03,0.0,1
8,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.07,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,16
9,0.0,0.2,0.0,0.0,0.09,0.0,0.0,0.0,0.04,0.0,0.03,0.0,0.04,0.56,0.0,0.02,0.0,0.0,0.02,0.0,13
10,0.0,0.28,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.33,0.02,0.0,0.12,0.0,0.0,0.0,13
11,0.0,0.0,0.35,0.0,0.58,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,4
12,0.0,0.58,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.08,0.02,0.0,0.0,0.0,0.0,0.06,0.0,1
13,0.0,0.0,0.02,0.47,0.29,0.0,0.0,0.2,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
14,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,16
