,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20,Word 21,Word 22,Word 23,Word 24,Word 25,Word 26,Word 27,Word 28,Word 29,Word 30,Word 31,Word 32,Word 33,Word 34,Word 35,Word 36,Word 37,Word 38,Word 39,Word 40,Word 41,Word 42,Word 43,Word 44,Word 45,Word 46,Word 47,Word 48,Word 49
Topic 0,dog,cat,animal,study,disease,infection,sample,bird,report,chicken,positive,human,poultry,use,high,virus,cause,include,clinical,strain,sign,isolate,case,detect,test,specie,infect,prevalence,result,present,wild,diarrhea,farm,feline,group,domestic,age,associate,different,pathogen,canine,tissue,year,identify,collect,duck,avian,fecal,blood,presence
Topic 1,cell,protein,fig,use,membrane,figure,contain,fusion,result,particle,antibody,express,bind,incubate,indicate,surface,entry,experiment,mutant,activity,label,virus,presence,concentration,expression,suggest,observe,form,domain,medium,virion,control,datum,ifitm,follow,tag,time,signal,image,study,transfecte,wash,analysis,perform,fraction,complex,formation,plasmid,detect,increase
Topic 2,sample,use,detection,virus,test,detect,positive,assay,viral,primer,result,method,time,reaction,sensitivity,pathogen,clinical,study,probe,dna,base,diagnostic,target,amplification,negative,specimen,high,perform,real,respiratory,specific,table,control,specificity,infection,low,laboratory,nucleic,include,copy,culture,bacterial,analysis,develop,value,acid,testing,obtain,design,standard
Topic 3,patient,study,use,treatment,clinical,group,day,high,result,include,severe,level,therapy,increase,mortality,blood,disease,associate,lung,acute,outcome,hospital,case,rate,risk,antibiotic,respiratory,year,low,care,time,analysis,compare,datum,diagnosis,perform,admission,follow,pulmonary,hour,report,score,method,sepsis,infection,failure,test,receive,factor,present
Topic 4,preprint,author,review,copyright,holder,peer,funder,license,make,available,right,display,grant,reuse,permission,allow,reserve,https,medrxiv,perpetuity,case,covid,ncov,international,figure,fig,confirm,use,datum,report,table,test,include,number,high,study,day,ace,result,severe,increase,observe,associate,cell,epithelium,analysis,suggest,symptom,feature,time
Topic 5,group,study,use,day,level,increase,effect,calf,treatment,significant,compare,control,animal,test,concentration,significantly,blood,sample,difference,age,high,result,serum,time,week,score,analysis,change,disease,weight,include,measure,associate,low,clinical,subject,ace,rat,follow,dose,decrease,total,value,healthy,mean,perform,evaluate,present,report,female
Topic 6,pig,pedv,use,piglet,temperature,sample,particle,virus,water,surface,air,high,study,farm,time,concentration,feed,result,room,bacteria,control,condition,solution,test,herd,animal,different,low,increase,figure,exposure,size,filter,swine,method,environment,experiment,production,material,sow,product,collect,measure,transmission,airborne,reduce,table,droplet,day,dry
Topic 7,case,study,patient,infection,year,influenza,respiratory,child,report,age,hospital,virus,symptom,use,high,datum,day,include,rate,disease,risk,contact,group,mer,illness,outbreak,table,test,period,number,analysis,low,control,participant,transmission,confirm,identify,population,surveillance,positive,person,care,associate,result,time,clinical,severe,country,month,fever
Topic 8,cell,virus,use,infection,infect,gene,figure,fig,expression,viral,day,group,control,mouse,level,culture,time,result,determine,titer,perform,strain,study,replication,antibody,compare,sample,observe,plate,infected,incubate,follow,experiment,medium,protein,datum,analysis,indicate,high,post,detect,tissue,test,previously,express,serum,assay,supernatant,response,line
Topic 9,activity,drug,compound,effect,use,cell,treatment,concentration,inhibit,inhibitor,antiviral,target,inhibition,study,anti,acid,plant,peptide,high,result,treat,extract,report,increase,reduce,potential,molecule,enzyme,active,figure,agent,therapeutic,include,base,group,cancer,different,aptamer,inhibitory,mechanism,property,effective,addition,lead,protein,resistance,development,human,various,chemical
Topic 10,use,protein,datum,method,sequence,base,analysis,set,value,gene,result,number,identify,figure,table,database,predict,model,score,different,approach,high,information,prediction,dataset,structure,target,network,peptide,provide,select,search,feature,pair,tool,sample,study,test,calculate,include,function,algorithm,map,reference,represent,file,cluster,group,process,correlation
Topic 11,health,disease,public,country,use,include,research,risk,information,need,outbreak,datum,response,provide,study,level,surveillance,work,global,care,report,infectious,develop,support,control,new,make,human,base,resource,participant,policy,increase,practice,people,emergency,medical,program,example,service,community,development,review,population,international,national,approach,knowledge,pandemic,measure
Topic 12,bind,protein,structure,residue,domain,virus,site,mutation,interaction,receptor,figure,acid,use,region,mutant,form,sequence,fig,amino,structural,activity,viral,complex,terminal,binding,position,loop,human,contain,motif,model,conserve,study,suggest,fusion,high,different,substrate,type,result,peptide,protease,surface,conformation,similar,host,change,cleavage,chain,fold
Topic 13,sequence,gene,strain,genome,use,region,protein,orf,site,virus,nucleotide,isolate,analysis,mutation,figure,amino,genetic,length,recombination,variant,acid,contain,study,genotype,base,genomic,identify,primer,result,table,end,fig,product,type,clone,encode,frame,position,different,code,deletion,codon,suggest,indicate,high,viral,transcript,phylogenetic,construct,selection
Topic 14,antibody,cell,protein,use,vaccine,response,epitope,specific,peptide,mouse,antigen,immune,human,vector,tumor,bind,neutralize,target,high,recombinant,express,cancer,immunization,base,dna,anti,induce,study,expression,result,mab,surface,produce,serum,immunize,delivery,clone,development,develop,different,generate,adjuvant,neutralization,sera,phage,approach,production,contain,vaccination,affinity
Topic 15,virus,sequence,specie,bat,human,host,use,sample,genome,viral,read,analysis,identify,study,sequencing,tree,table,include,phylogenetic,diversity,family,number,high,pathogen,detect,gene,genetic,population,fig,different,know,cluster,datum,animal,novel,contig,group,evolutionary,figure,new,base,large,region,result,lineage,identity,database,reservoir,isolate,suggest
Topic 16,model,case,number,time,estimate,datum,use,population,transmission,individual,rate,epidemic,disease,outbreak,infection,distribution,contact,value,parameter,result,figure,probability,network,period,infectious,size,day,different,assume,increase,high,effect,large,study,base,spread,mean,infect,dynamic,analysis,method,consider,change,average,measure,risk,control,fig,interval,simulation
Topic 17,cell,mouse,expression,infection,response,induce,increase,level,cytokine,inflammatory,macrophage,tissue,fig,immune,figure,lung,use,type,activation,role,control,brain,result,study,receptor,effect,inflammation,express,production,suggest,specific,disease,day,compare,activate,follow,treatment,model,treat,signal,datum,number,significantly,function,observe,mediate,infect,cns,high,anti
Topic 18,protein,cell,viral,virus,infection,expression,replication,host,gene,induce,pathway,cellular,response,factor,target,role,activity,activation,signal,function,study,bind,inhibit,mediate,interaction,type,mechanism,antiviral,transcription,regulate,level,activate,involve,result,figure,include,suggest,complex,immune,express,increase,production,use,process,receptor,lead,effect,dependent,human,identify
Topic 19,virus,infection,vaccine,viral,human,study,response,disease,respiratory,immune,influenza,rsv,animal,vaccination,cause,clinical,antibody,high,challenge,lung,infect,cell,strain,severe,immunity,pathogen,host,include,day,associate,model,protection,develop,increase,tract,low,development,bacterial,group,use,type,mouse,dose,report,specific,suggest,infectious,child,result,acute
